epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,1349.41,0.42877,0.36506,0.93348,0.87514,0.56217,0.62051,0.4932,0.78131,0.48207,1.0074,0.000237665,0.000237665,0.000237665
82,1730.56,0.47298,0.38445,0.96026,0.94734,0.67472,0.72628,0.57961,0.72282,0.49299,0.96655,0.000222774,0.000222774,0.000222774
83,568.396,0.35692,0.33192,0.91161,0.67528,0.1636,0.26057,0.20371,0.72392,0.48513,0.97769,0.000207882,0.000207882,0.000207882
84,957.484,0.33992,0.31818,0.91113,0.87302,0.59854,0.6537,0.51544,0.7501,0.5061,0.99012,0.00019299,0.00019299,0.00019299
85,1280.62,0.3726,0.33045,0.91552,0.86513,0.59707,0.6537,0.51718,0.74663,0.4858,0.99091,0.000178099,0.000178099,0.000178099
86,1637.44,0.71745,0.56963,1.04084,0.82189,0.46179,0.49202,0.38155,0.75183,0.4955,0.98731,0.000163207,0.000163207,0.000163207
87,1962.68,0.70484,0.48501,1.03935,0.77035,0.26266,0.28887,0.22865,0.71703,0.4796,0.97189,0.000148315,0.000148315,0.000148315
88,423.397,0.65765,0.46162,1.00215,0.80621,0.09637,0.15252,0.11301,0.70171,0.47141,0.96484,0.000133423,0.000133423,0.000133423
89,680.31,0.65626,0.46355,0.99016,0.86552,0.14761,0.20025,0.14805,0.6945,0.44127,0.95781,0.000118532,0.000118532,0.000118532
90,915.181,0.63186,0.43028,0.98572,0.8916,0.28921,0.31168,0.24586,0.67368,0.44305,0.94439,0.00010364,0.00010364,0.00010364
91,1153.64,0.61953,0.42334,0.95328,0.89376,0.59223,0.60896,0.49649,0.66038,0.43213,0.93957,8.87484e-05,8.87484e-05,8.87484e-05
92,1484.89,0.64282,0.43914,0.97541,0.90753,0.33641,0.36377,0.29036,0.66511,0.41956,0.94091,7.38567e-05,7.38567e-05,7.38567e-05
93,1816.62,0.62659,0.42151,0.98475,0.93665,0.50347,0.52924,0.43257,0.65208,0.416,0.93703,5.89651e-05,5.89651e-05,5.89651e-05
94,430.718,0.52601,0.37017,0.92793,0.83964,0.12557,0.18288,0.14163,0.64098,0.40903,0.9309,4.40734e-05,4.40734e-05,4.40734e-05
95,689.17,0.53007,0.36691,0.92339,0.92214,0.26508,0.32554,0.26844,0.63504,0.40705,0.92839,2.91817e-05,2.91817e-05,2.91817e-05
